Machine_ID,Temperature,Vibration,Power_Consumption,Operating_Hours,Maintenance_Days,Failure
M007,76.7,5.12,4.28,2552,90,1
M004,58.6,2.66,3.56,1367,22,0
M008,59.2,4.23,3.62,310,111,1
M005,70.0,2.1,3.98,4527,107,1
M007,62.0,2.61,3.68,3855,55,1
M010,81.0,1.94,4.59,3993,67,0
M003,61.7,0.5,3.18,1955,99,0
M007,63.0,2.95,3.66,1777,60,0
M008,72.2,3.17,3.17,1496,58,0
M005,64.1,4.39,2.88,3974,12,0
M004,55.7,4.03,3.36,2420,88,0
M008,57.0,4.05,3.62,1172,69,0
M008,73.4,1.73,4.41,1230,84,0
M003,54.4,3.6,4.21,2793,103,0
M006,82.0,5.06,4.51,4192,39,1
M005,61.1,3.49,3.78,4813,13,0
M002,74.2,5.38,3.91,1113,41,0
M008,61.7,5.62,3.01,2381,57,0
M006,58.8,2.65,3.42,3397,53,0
M002,70.5,2.09,4.21,1662,109,1
M005,78.5,2.01,4.28,2578,12,0
M001,65.5,1.03,3.19,3654,13,0
M010,67.3,2.33,3.9,3753,120,0
M006,76.1,4.57,4.09,1507,74,1
M009,76.4,0.5,4.03,1389,97,0
M001,67.6,1.65,3.68,887,57,0
M010,63.6,2.83,3.82,4861,40,0
M003,68.8,1.86,3.96,1407,118,0
M007,66.1,2.31,3.43,2094,80,0
M004,71.1,2.33,3.94,2011,45,0
M009,56.1,2.67,3.34,3383,35,0
M003,70.8,2.05,3.25,3997,3,0
M005,60.8,1.95,3.32,1844,120,1
M003,77.1,4.21,3.38,4168,5,0
M007,61.3,4.36,3.88,2916,90,0
M005,61.4,1.21,3.66,390,11,0
M009,72.5,0.5,3.69,1535,71,0
M007,68.1,4.38,4.2,3306,117,1
M002,90.8,1.4,4.29,578,56,0
M004,51.7,3.28,2.79,4682,10,0
M009,69.1,0.96,3.57,4029,106,0
M002,79.3,4.69,4.55,815,116,1
M010,62.2,6.31,3.32,2530,34,1
M009,58.9,3.24,3.57,1954,67,0
M010,59.3,2.88,3.74,663,72,0
M005,51.9,2.58,3.5,1166,31,0
M002,81.5,4.02,4.89,4467,75,1
M004,64.7,3.74,3.21,3358,109,1
M007,63.5,4.3,3.21,3824,71,1
M008,46.8,2.18,2.76,889,109,0
M003,53.7,3.44,3.24,2822,66,0
M001,82.7,2.29,4.45,2412,70,0
M004,71.0,1.62,3.41,582,41,0
M002,79.7,2.95,4.38,2456,63,0
M008,78.4,1.8,3.97,4010,32,0
M004,58.0,4.53,3.06,3703,20,0
M002,92.3,1.88,3.69,1612,57,0
M006,87.5,3.47,3.65,1783,98,1
M006,62.4,2.22,3.33,571,50,0
M010,45.0,3.36,3.07,810,80,0
M004,64.4,2.32,4.08,315,25,0
M006,70.4,1.37,4.04,646,12,0
M002,62.3,3.63,3.26,1591,71,0
M010,65.8,2.69,3.79,3524,39,0
M002,59.7,3.37,4.07,1540,17,0
M010,77.2,2.44,4.59,4710,45,0
M004,68.6,1.27,3.6,3139,11,0
M008,77.5,4.41,4.27,3899,70,1
M007,80.2,3.96,4.49,1273,23,0
M009,46.3,2.26,2.63,3769,91,0
M008,60.3,3.09,3.33,3350,110,1
M005,61.8,4.35,4.32,1805,70,0
M002,93.7,2.41,4.24,4857,38,0
M005,69.5,2.61,2.71,2494,2,0
M008,76.1,3.32,3.86,3862,86,1
M010,49.2,2.4,3.62,4682,84,0
M009,69.4,4.11,3.74,4997,89,1
M009,77.8,2.78,4.2,1183,79,1
M001,76.6,1.98,4.24,551,113,0
M009,74.2,3.79,3.73,1924,93,1
M007,68.1,1.52,3.52,2151,72,0
M009,68.6,5.62,3.77,1479,37,0
M008,51.1,5.06,3.34,2107,49,0
M001,59.0,3.67,3.49,1224,52,0
M008,70.3,3.56,3.79,745,33,0
M008,60.8,3.5,3.26,4374,22,0
M003,74.9,2.36,4.14,2581,114,1
M001,72.7,3.39,4.03,1088,111,0
M008,81.7,1.8,3.57,1305,5,0
M003,77.6,3.65,3.8,2749,103,1
M003,70.3,4.13,3.79,2190,18,0
M001,75.5,2.51,3.7,4198,38,0
M005,78.1,2.23,4.18,3975,118,1
M010,62.9,1.42,3.55,3012,117,0
M007,64.7,4.9,3.68,1120,37,0
M010,67.0,2.33,3.53,4845,94,1
M009,63.2,2.74,2.88,2261,115,0
M007,78.2,3.39,3.24,4687,95,1
M009,61.7,3.37,3.75,3839,64,1
M008,80.5,3.97,4.11,3365,10,0
M002,64.3,2.51,3.76,4635,79,0
M001,72.7,1.52,3.86,2844,42,0
M007,69.7,1.29,3.82,1245,48,0
M007,58.2,2.25,3.79,3756,44,0
M008,67.8,1.76,3.85,2881,82,1
M005,71.3,2.61,4.15,3399,87,1
M003,67.4,4.7,3.75,1138,97,1
M008,54.6,2.51,3.26,641,16,0
M006,85.0,2.51,4.19,2750,54,0
M003,68.9,2.98,3.43,4425,102,0
M001,60.1,2.47,3.37,796,35,0
M003,84.2,2.91,4.17,1705,98,1
M005,74.2,3.7,3.91,1061,28,0
M003,56.0,4.15,3.36,2840,2,0
M001,57.6,4.3,2.95,3931,94,1
M005,65.8,5.67,3.87,1751,13,1
M010,71.0,3.74,4.07,3436,41,0
M007,74.2,5.9,4.43,1936,80,1
M007,77.5,1.99,4.09,1649,59,0
M009,73.4,5.72,3.84,464,69,1
M010,81.5,2.51,3.68,2859,119,1
M010,69.3,2.63,4.25,2921,92,0
M003,60.4,2.84,3.6,1662,53,0
M007,68.0,2.72,3.77,4452,103,0
M001,67.3,3.11,3.59,1645,45,0
M004,45.0,2.25,3.01,2498,20,0
M004,62.4,4.08,3.8,3125,24,0
M005,71.1,2.28,3.42,1832,61,1
M007,63.8,3.85,4.16,2574,91,0
M007,61.5,4.99,4.03,712,94,1
M004,77.1,2.54,3.8,415,58,0
M007,58.8,4.03,3.17,3531,109,1
M003,75.1,3.73,3.17,2372,27,0
M006,54.7,5.93,2.93,3353,26,0
M002,95.6,2.34,4.65,1906,7,0
M010,65.8,4.03,3.76,2306,42,0
M009,64.8,0.89,3.79,1767,47,0
M005,79.4,2.36,3.34,2408,53,0
M006,63.8,3.46,3.46,2531,59,0
M004,82.5,4.81,4.54,2353,38,1
M010,71.7,1.41,3.76,1328,69,0
M007,66.8,4.02,3.22,3710,87,1
M009,65.7,2.92,3.6,4523,92,0
M007,80.1,1.02,3.73,3853,98,0
M001,70.3,3.24,3.87,2565,53,0
M001,72.3,5.22,3.81,3121,15,1
M009,73.4,1.54,4.03,4767,96,1
M009,69.3,2.86,3.31,1279,26,0
M004,73.2,1.72,3.67,3711,48,0
M009,66.8,2.39,4.05,2941,95,1
M003,67.5,4.86,3.21,3220,19,0
M007,56.8,2.65,3.07,428,9,0
M006,71.0,4.82,3.84,370,64,0
M008,50.8,4.44,3.37,494,93,0
M009,70.8,2.53,3.6,4484,54,0
M005,65.2,2.35,3.53,625,51,0
M001,71.7,1.84,3.98,1118,39,0
M003,57.5,1.79,3.73,3453,4,0
M010,46.8,3.46,2.8,698,3,0
M008,64.5,2.97,3.74,3009,120,1
M006,57.5,2.19,3.97,1025,64,0
M008,50.2,0.99,3.21,3979,29,0
M009,75.7,3.14,3.51,2058,116,0
M004,84.0,2.39,3.71,2318,11,0
M001,60.0,2.75,3.44,345,97,0
M001,67.2,3.4,4.04,4765,102,1
M010,64.9,0.5,3.61,3777,58,0
M004,61.4,1.01,3.6,392,75,0
M007,74.6,5.99,3.52,4088,27,1
M002,78.1,2.34,4.3,251,97,1
M003,59.3,0.5,3.08,2610,21,0
M001,68.4,1.12,3.53,2020,39,0
M005,80.8,6.23,4.24,3164,95,1
M001,74.9,2.09,3.16,2721,102,1
M008,76.4,4.51,3.97,2069,46,0
M001,81.7,3.16,3.68,2768,66,0
M001,81.5,2.37,4.04,2067,91,0
M002,78.3,4.01,3.83,2938,36,1
M002,69.4,0.5,4.47,3469,75,0
M006,64.2,1.13,3.47,3399,111,0
M007,69.0,2.36,4.37,2779,82,0
M005,62.7,1.25,3.77,4205,65,0
M001,48.5,2.24,2.93,440,63,0
M001,65.2,4.11,3.75,3640,99,1
M003,71.6,3.17,3.68,4831,35,0
M002,62.1,4.73,3.64,1607,31,0
M005,66.1,3.25,3.4,3702,28,0
M010,66.5,4.29,4.25,4238,103,1
M006,81.6,2.92,4.36,282,1,0
M007,64.4,2.23,3.62,3968,25,0
M004,81.6,4.92,4.65,1150,43,1
M007,45.0,2.08,3.15,810,102,0
M008,81.5,3.45,4.42,4869,84,0
M001,81.0,4.0,4.04,3805,67,1
M006,77.0,4.09,4.06,4754,63,1
M008,47.9,1.48,3.17,3483,51,0
M005,78.2,4.37,3.99,2373,2,0
M004,67.5,1.73,3.75,3684,82,0
M002,45.0,4.05,2.89,1722,108,0
M006,81.0,3.7,3.88,2801,64,0
M006,82.4,4.06,3.98,2857,74,1
M001,49.0,1.43,3.31,2359,69,0
M009,69.8,3.76,3.73,2649,9,0
M006,81.9,4.41,4.46,4030,2,1
M003,80.3,3.25,4.3,321,34,1
M004,76.4,1.94,3.84,4568,60,0
M004,45.0,4.2,3.61,1517,102,0
M003,75.3,3.15,4.54,4693,61,0
M010,65.8,0.82,2.93,2718,31,0
M003,78.0,1.83,4.28,1430,10,0
M003,70.6,2.32,3.52,1333,114,1
M004,67.8,4.96,3.98,1501,76,1
M007,74.4,4.73,4.29,4234,36,1
M004,66.3,4.73,3.35,2110,118,1
M009,67.8,3.3,3.05,1705,85,1
M001,62.4,4.19,3.85,3385,49,1
M008,51.9,1.52,3.34,2116,111,0
M007,73.7,3.01,3.26,3748,70,1
M002,59.9,3.59,4.38,2957,112,1
M008,66.0,1.6,3.87,2156,49,0
M001,70.9,3.27,4.01,378,3,0
M009,47.1,5.19,3.66,1096,74,0
M009,49.4,3.73,3.03,1751,5,0
M002,65.0,4.19,3.67,691,110,1
M007,72.5,0.5,3.35,260,90,0
M010,75.4,5.03,3.67,1277,61,0
M003,52.1,2.76,3.44,3095,85,0
M007,74.4,2.0,3.28,4360,109,0
M010,65.5,2.77,3.41,3883,90,0
M009,59.2,1.07,3.16,785,102,0
M004,61.5,4.36,3.59,4160,108,1
M001,76.0,2.56,4.1,3970,26,0
M002,70.7,2.04,4.03,734,72,0
M001,68.5,2.78,4.06,3662,5,0
M005,70.4,4.45,4.24,4211,15,0
M005,77.3,3.17,4.15,3598,16,0
M007,67.0,1.17,4.34,2355,1,0
M009,68.5,3.6,3.75,1204,16,1
M009,79.4,1.79,3.92,2699,37,0
M003,64.7,0.5,3.83,526,3,0
M003,74.2,4.94,3.78,4903,52,1
M003,63.0,3.59,4.22,2906,47,0
M004,63.8,2.9,3.99,201,95,0
M008,67.0,2.55,3.94,1233,13,0
M006,73.2,4.82,3.88,2681,120,1
M008,79.9,7.01,3.85,324,80,1
M001,69.0,3.58,3.97,1304,55,0
M008,53.0,1.66,2.93,2899,107,0
M004,74.3,2.8,4.39,2061,21,0
M001,92.5,3.56,4.25,3120,66,1
M008,69.1,0.5,3.83,328,54,0
M004,50.9,3.43,2.95,637,27,0
M006,69.7,3.57,4.0,2748,38,0
M008,68.0,4.72,3.54,3329,90,1
M004,67.1,4.59,3.9,1421,58,1
M003,77.5,3.14,4.2,1101,62,0
M009,81.8,4.97,3.82,3368,102,1
M003,74.8,5.65,3.48,4686,46,1
M009,66.7,3.04,4.2,4118,89,0
M002,79.3,3.54,3.92,1267,11,0
M002,53.1,0.7,3.41,226,72,0
M002,60.8,1.11,3.69,747,8,0
M006,62.0,1.91,3.11,2868,97,0
M003,67.7,2.42,3.85,766,117,0
M009,73.1,1.58,3.86,903,71,0
M004,66.0,2.95,3.42,4480,64,0
M001,58.9,2.46,3.07,3340,102,0
M004,77.7,4.39,4.15,1790,21,1
M001,65.6,2.38,4.03,4894,72,0
M005,69.0,0.5,3.79,1005,115,0
M004,73.5,3.16,3.34,3991,118,1
M008,68.4,2.98,3.34,1557,63,0
M008,68.4,1.88,3.56,3425,85,0
M007,78.3,3.12,4.51,3818,64,1
M003,69.5,1.6,3.65,2326,120,1
M001,76.6,3.43,3.75,2660,20,0
M001,73.4,6.42,3.25,745,8,1
M003,88.2,0.65,3.98,2928,58,0
M006,72.1,2.33,3.37,3934,46,0
